order_id,order_date,order_value,category,payment_method,customer_age_days,past_orders,past_return_rate,address_mismatch,delivery_days,orders_last_24h,discount_pct,returned
R02278,2025-01-10,322,Home,COD,432,7,0.008,0,2,2,0,0
R03800,2025-01-10,1504,Clothing,Prepaid,197,9,0.574,0,12,1,0,0
R01464,2025-01-10,1278,Books,Prepaid,739,4,0.381,0,4,1,20,0
R02618,2025-01-10,1037,Beauty,COD,859,5,0.087,1,7,2,20,0
R05646,2025-01-10,530,Electronics,Prepaid,236,1,0.384,0,5,3,0,0
R04120,2025-01-10,413,Home,Prepaid,482,7,0.085,0,12,2,20,0
R00546,2025-01-10,180,Electronics,COD,953,10,0.191,1,9,1,10,0
R04986,2025-01-10,1919,Clothing,COD,854,10,0.15,1,9,3,0,0
R04952,2025-01-10,1577,Home,Prepaid,276,8,0.164,0,2,2,0,0
R02505,2025-01-10,2305,Beauty,Prepaid,733,3,0.019,0,7,3,5,0
R03617,2025-01-10,4804,Electronics,Prepaid,728,5,0.374,0,2,2,0,0
R04724,2025-01-10,1117,Electronics,Prepaid,488,9,0.313,0,10,2,5,0
R00584,2025-01-10,906,Home,Prepaid,256,8,0.207,0,1,1,0,0
R01653,2025-01-10,1978,Clothing,Prepaid,372,7,0.347,0,12,1,5,0
R04341,2025-01-10,1236,Electronics,COD,378,5,0.088,0,5,1,20,0
R03464,2025-01-10,3639,Clothing,COD,992,7,0.118,0,4,1,0,0
R03338,2025-01-10,390,Clothing,Prepaid,517,5,0.343,0,8,1,10,0
R03509,2025-01-11,845,Home,Prepaid,525,3,0.117,0,10,1,5,0
R05257,2025-01-11,3303,Beauty,COD,554,2,0.57,1,4,1,0,0
R00858,2025-01-11,1306,Electronics,Prepaid,279,4,0.093,0,9,1,5,0
R04702,2025-01-11,519,Electronics,COD,319,7,0.145,0,10,1,10,0
R05653,2025-01-11,1468,Books,COD,153,6,0.078,0,9,1,10,0
R05385,2025-01-11,752,Clothing,COD,793,5,0.075,0,3,3,0,1
R03357,2025-01-11,1026,Clothing,Prepaid,293,6,0.252,1,1,1,0,0
R01411,2025-01-11,474,Electronics,Prepaid,363,6,0.152,0,8,3,20,1
R04893,2025-01-11,1779,Clothing,Prepaid,922,5,0.175,0,3,1,0,0
R05475,2025-01-11,445,Clothing,COD,626,7,0.061,1,9,1,20,0
R01470,2025-01-11,6665,Clothing,COD,344,3,0.221,0,12,2,0,0
R04518,2025-01-11,1000,Home,COD,364,8,0.11,0,10,1,20,0
R05537,2025-01-11,455,Clothing,COD,672,7,0.302,1,3,2,0,0
R04185,2025-01-11,1509,Clothing,Prepaid,492,4,0.146,0,7,2,0,0
R00542,2025-01-11,2342,Electronics,Prepaid,787,5,0.306,0,5,2,0,0
R01136,2025-01-11,550,Clothing,COD,771,4,0.358,1,4,1,0,0
R05974,2025-01-11,976,Clothing,Prepaid,41,6,0.359,0,11,2,0,0
R01801,2025-01-11,885,Electronics,COD,594,10,0.106,0,9,1,0,0
R04484,2025-01-11,6193,Beauty,COD,423,10,0.05,0,7,1,0,0
R02488,2025-01-11,968,Clothing,Prepaid,275,5,0.133,0,11,1,30,0
R02657,2025-01-11,510,Books,COD,985,5,0.207,0,6,1,5,1
R02460,2025-01-11,2228,Clothing,COD,410,12,0.161,0,11,3,0,0
R01615,2025-01-11,1308,Clothing,Prepaid,180,6,0.364,0,1,1,0,1
R03184,2025-01-11,549,Home,Prepaid,6,5,0.609,0,4,1,0,0
R03919,2025-01-11,1863,Clothing,COD,567,4,0.279,0,3,1,5,0
R05850,2025-01-11,2827,Books,COD,422,4,0.178,1,12,1,0,0
R05816,2025-01-11,1435,Clothing,Prepaid,982,5,0.417,0,1,2,0,0
R03189,2025-01-11,858,Home,COD,950,6,0.488,0,3,1,5,0
R03113,2025-01-11,2837,Clothing,Prepaid,133,8,0.294,0,1,1,10,1
R04873,2025-01-11,1364,Clothing,Prepaid,469,4,0.25,0,2,2,20,0
R04861,2025-01-11,2114,Home,Prepaid,422,5,0.044,0,10,1,0,0
